"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.783652,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.277912,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.588883,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.7531087,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2021","2021","PC","Percentage","0","Units",,,1.358811,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2022","2022","PC","Percentage","0","Units",,,2.768579,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1974","1974","PC","Percentage","0","Units",,,10.55437,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1975","1975","PC","Percentage","0","Units",,,8.02375,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1976","1976","PC","Percentage","0","Units",,,9.276542,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1977","1977","PC","Percentage","0","Units",,,7.492917,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1978","1978","PC","Percentage","0","Units",,,8.71375,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1979","1979","PC","Percentage","0","Units",,,11.96133,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1980","1980","PC","Percentage","0","Units",,,13.12896,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1981","1981","PC","Percentage","0","Units",,,18.37563,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1982","1982","PC","Percentage","0","Units",,,14.37521,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1983","1983","PC","Percentage","0","Units",,,9.465834,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1984","1984","PC","Percentage","0","Units",,,11.22208,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1985","1985","PC","Percentage","0","Units",,,9.596042,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1986","1986","PC","Percentage","0","Units",,,9.187917,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1987","1987","PC","Percentage","0","Units",,,8.409583,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1988","1988","PC","Percentage","0","Units",,,9.61,,
